Name,Disaster.type,Year,Month,Day,Total.CPIAdjusted.Cost.in.Billions,Deaths
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999,1,13,1.570,0
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999,5,3,3.541,55
Eastern Drought/Heat Wave (Summer 1999),Drought,1999,6,1,4.448,502
Hurricane Floyd (September 1999),Tropical Cyclone,1999,9,14,11.294,77
Southeast Winter Storm (January 2000),Winter Storm,2000,1,21,1.222,4
Southern Severe Weather (March 2000),Severe Storm,2000,3,28,1.180,0
Western Fire Season (Spring-Summer 2000),Wildfire,2000,3,1,1.838,0
South Florida Flooding (October 2000),Flooding,2000,10,3,1.512,3
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000,3,1,8.645,140
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001,4,6,5.107,3
North Central Severe Weather (May 2001),Severe Storm,2001,4,30,1.107,0
Tropical Storm Allison (June 2001),Tropical Cyclone,2001,6,5,13.976,43
Severe Storms and Tornadoes (April 2002),Severe Storm,2002,4,27,3.413,7
Hurricane Lili (October 2002),Tropical Cyclone,2002,8,1,1.789,2
Tropical Storm Isidore (September 2002),Tropical Cyclone,2002,9,25,1.852,5
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002,11,9,1.159,28
U.S. Drought (Spring-Fall 2002),Drought,2002,3,1,14.861,0
Western Fire Season (Fall 2002),Wildfire,2002,9,1,2.130,21
Severe Storms/Hail (April 2003),Severe Storm,2003,4,4,3.190,3
Severe Storms/Tornadoes (May 2003),Severe Storm,2003,5,3,6.564,51
Midwest/Plains Severe Weather (July 2003),Severe Storm,2003,7,4,1.364,7
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,2003,7,21,1.603,7
Hurricane Isabel (September 2003),Tropical Cyclone,2003,9,18,8.665,55
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,2003,3,1,8.079,35
California Wildfires (Fall 2003),Wildfire,2003,9,1,6.147,22
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,2004,5,21,1.572,4
Colorado Hail Storms (June 2004),Severe Storm,2004,6,8,1.070,0
Hurricane Charley (August 2004),Tropical Cyclone,2004,8,13,24.639,35
Hurricane Frances (September 2004),Tropical Cyclone,2004,9,3,15.092,48
Hurricane Ivan (September 2004),Tropical Cyclone,2004,9,12,31.571,57
Hurricane Jeanne (September 2004),Tropical Cyclone,2004,9,15,11.545,28
Southeast Severe Weather (March 2005),Severe Storm,2005,3,24,1.306,0
Hurricane Dennis (July 2005),Tropical Cyclone,2005,7,9,3.743,15
Hurricane Katrina (August 2005),Tropical Cyclone,2005,8,25,186.294,1833
Midwest Drought (Spring-Summer 2005),Drought,2005,3,1,2.257,0
Hurricane Rita (September 2005),Tropical Cyclone,2005,9,20,27.195,119
Hurricane Wilma (October 2005),Tropical Cyclone,2005,10,24,27.930,35
Severe Storms and Tornadoes (March 2006),Severe Storm,2006,3,8,1.953,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006,4,6,2.326,10
Midwest Tornadoes (April 2006),Severe Storm,2006,4,13,3.514,27
Northeast Flooding (June 2006),Flooding,2006,6,25,2.191,20
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006,8,23,1.086,1
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006,3,1,8.817,0
Central Severe Weather (October 2006),Severe Storm,2006,10,2,1.275,1
Numerous Wildfires (2006),Wildfire,2006,1,1,2.157,28
California Freeze (January 2007),Freeze,2007,1,11,2.016,1
Spring Freeze (April 2007),Freeze,2007,4,4,2.944,0
East/South Severe Weather and Flooding (April 2007),Severe Storm,2007,4,13,3.536,9
Western Wildfires (Summer 2007),Wildfire,2007,6,1,3.838,12
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007,6,1,5.095,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008,1,4,1.355,12
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008,2,5,1.672,57
Southeast Tornadoes (March 2008),Severe Storm,2008,3,14,1.550,5
Southern Severe Weather (April 2008),Severe Storm,2008,4,9,1.414,2
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008,5,22,4.090,13
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008,6,6,2.192,18
Midwest Flooding (Summer 2008),Flooding,2008,4,1,13.743,24
Hurricane Dolly (July 2008),Tropical Cyclone,2008,7,23,1.686,3
Hurricane Gustav (September 2008),Tropical Cyclone,2008,8,31,7.976,53
Hurricane Ike (September 2008),Tropical Cyclone,2008,9,12,40.199,112
U.S. Wildfires (Fall 2008),Wildfire,2008,9,1,1.654,16
U.S. Drought (2008),Drought,2008,1,1,9.674,0
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009,2,10,2.401,10
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009,3,25,2.248,0
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009,4,9,1.959,6
Central Derecho and Tornadoes (May 2009),Severe Storm,2009,5,7,1.180,7
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009,6,9,1.806,0
Colorado Hail Storm (July 2009),Severe Storm,2009,7,20,1.360,0
Georgia Flooding (September 2009),Flooding,2009,9,19,1.213,10
Western Wildfires (Summer-Fall 2009),Wildfire,2009,6,1,1.376,10
Southwest/Great Plains Drought (2009),Drought,2009,1,1,4.819,0
Northeast Winter Storm (February 2010),Winter Storm,2010,2,9,1.103,3
Northeast Flooding (March 2010),Flooding,2010,3,1,2.490,11
East/South Flooding and Severe Weather (May 2010),Flooding,2010,4,30,3.060,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010,5,10,4.467,3
Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010,6,10,1.207,2
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010,7,20,1.271,0
Arizona Severe Weather (October 2010),Severe Storm,2010,10,5,5.092,0
Groundhog Day Blizzard (February 2011),Winter Storm,2011,2,1,2.386,36
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011,4,4,3.608,9
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011,4,8,2.833,0
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011,4,14,2.677,38
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011,4,19,1.349,0
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011,4,25,13.288,321
Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011,5,22,11.735,177
Mississippi River flooding (April-May 2011),Flooding,2011,4,1,3.972,7
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011,6,18,1.983,3
Missouri River flooding (May-June 2011),Flooding,2011,5,1,2.663,5
North Central Severe Weather (July 2011),Severe Storm,2011,7,1,1.146,0
Rockies and Midwest Derecho (July 2011),Severe Storm,2011,7,10,1.593,2
Midwest/Southeast Severe Weather (August 2011),Severe Storm,2011,8,17,1.485,0
Hurricane Irene (August 2011),Tropical Cyclone,2011,8,26,17.407,45
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011,3,1,15.913,95
Tropical Storm Lee (September 2011),Tropical Cyclone,2011,9,1,3.241,21
Northeastern Winter Storm (October 2011),Winter Storm,2011,10,29,1.193,1
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011,6,1,2.349,5
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012,3,2,3.974,42
Texas Tornadoes (April 2012),Severe Storm,2012,4,2,1.289,0
Midwest Tornadoes (April 2012),Severe Storm,2012,4,13,1.427,6
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012,4,28,4.161,1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012,5,25,2.926,1
Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012,6,6,3.299,0
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012,6,29,3.668,28
Hurricane Isaac (August 2012),Tropical Cyclone,2012,8,26,3.510,9
Hurricane Sandy (October 2012),Tropical Cyclone,2012,10,30,81.950,159
Western Wildfires (Summer-Fall 2012),Wildfire,2012,6,1,2.208,8
U.S. Drought/Heat Wave (2012),Drought,2012,1,1,38.704,123
Southern Severe Weather (February 2013),Severe Storm,2013,2,24,1.162,1
Southeast Severe Weather (March 2013),Severe Storm,2013,3,18,2.545,1
Midwest/Plains Severe Weather (April 2013),Severe Storm,2013,4,7,1.819,1
Illinois Flooding and Severe Weather (April 2013),Flooding,2013,4,16,1.357,4
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2013,5,18,3.001,27
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2013,5,27,2.267,10
Midwest Severe Weather (August 2013),Severe Storm,2013,8,6,1.303,0
Colorado Flooding (September 2013),Flooding,2013,9,10,1.886,9
Ohio Valley Tornadoes (November 2013),Severe Storm,2013,11,17,1.363,8
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,2013,3,1,13.241,53
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2014,1,5,2.716,16
Plains Severe Weather (April 2014),Severe Storm,2014,4,2,1.766,0
Central Severe Weather (April 2014),Severe Storm,2014,4,12,1.129,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014,4,27,2.136,33
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014,5,18,4.567,0
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014,6,3,2.361,2
Michigan and Northeast Flooding (August 2014),Flooding,2014,8,11,1.269,2
Rockies/Plains Severe Weather (September 2014),Severe Storm,2014,9,29,1.723,0
Western Drought (2014),Drought,2014,1,1,4.940,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2015,2,14,3.703,30
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015,4,7,1.929,2
South/Southeast Severe Weather (April 2015),Severe Storm,2015,4,18,1.592,0
South and Southeast Severe Weather (April 2015),Severe Storm,2015,4,24,1.171,3
Southern Plains Tornadoes (May 2015),Severe Storm,2015,5,6,1.565,4
