SampleID,Zip Code,Ward,FirstDraw,45secflushing,2minflushing
184,48506,4,5.07,0.683,0.489
185,48507,8,26.64,8.878,6.619
186,48506,4,1.87,0.165,0.175
189,48506,4,19.16,12.54,7.719
191,48503,5,28.70,12.7,8.6
192,48507,9,20.22,8.908,6.677
193,48507,8,2.90,0.6,0.7
194,48503,7,18.86,5.051,2.548
195,48507,9,2.82,0.324,0.362
196,48506,3,118.40,40.78,39.99
197,48506,3,27.45,0.939,0.533
198,48503,7,1.20,0.1,0.1
200,48506,4,4.68,0.755,0.456
201,48506,3,11.57,6.08,1.782
202,48532,8,6.56,0.289,0.371
203,48505,3,3.40,9.6,1.7
204,48504,6,0.70,0.2,0.2
205,48507,8,158.00,90.83,91.69
206,48506,4,0.98,0.47,0.381
207,48503,8,8.47,4.692,1.48
208,48507,9,11.47,23.15,7.129
209,48503,7,5.23,2.477,1.014
210,48507,9,0.96,0.196,0.157
211,48504,6,1.67,0.405,4.721
212,48507,9,1.15,0.708,0.282
213,48507,9,0.50,0.1,0.1
214,48503,5,10.74,2.331,1.628
215,48507,9,3.90,0.4,0.2
216,48507,9,2.15,0.368,0.333
217,48506,4,1.10,0.4,0.2
218,48507,9,7.09,9.467,1.28
219,48505,1,1.33,0.609,0.527
220,48507,9,6.20,0.7,0.6
221,48505,3,0.80,0.26,0.255
222,48503,8,9.30,9.7,5
223,48504,2,2.10,1.2,0.5
224,48505,1,4.56,3.106,2.997
225,48504,2,4.81,6.196,1.523
226,48504,2,0.75,2.526,0.549
227,48505,1,1.86,1.213,0.898
228,48503,7,1.18,0.366,0.201
229,48503,7,8.20,3.2,2.6
230,48504,6,3.68,0.498,0.288
231,48505,1,2.37,7.333,3.797
234,48504,2,0.83,1.318,0.233
235,48503,7,0.72,0.254,0.058
236,48504,1,2.82,1.221,0.258
237,48504,8,2.87,0.723,0.744
238,48503,7,2.33,3.588,1.221
240,48503,8,4.40,2.111,1.572
241,48504,6,2.71,2.238,0.809
242,48504,6,34.13,6.002,1.71
243,48503,7,5.22,2.614,0.831
244,48503,7,15.73,13.95,3.584
245,48504,6,3.05,2.744,0.299
246,48503,7,1.10,0.5,0.3
247,48503,7,1.39,0.288,0.432
248,48504,6,0.92,0.354,0.306
249,48504,6,2.15,0.345,3.738
250,48507,8,4.06,0.547,0.378
251,48503,7,1.67,1.508,2.72
252,48503,7,7.58,1.362,1.094
253,48507,8,5.59,4.306,2.019
254,48503,5,0.71,0.326,0.303
255,48504,6,1.70,4.397,1.287
256,48504,6,1.47,0.149,0.137
258,48504,2,2.58,259.8,61.96
259,48505,2,22.08,15.86,9.262
260,48507,8,16.51,2.024,7.068
262,48507,8,56.26,4.692,1.243
263,48504,6,2.43,1.334,1.376
264,48503,7,0.50,0.2,0.5
265,48504,6,29.13,11.57,6.388
266,48505,1,12.30,0.5,0.4
267,48504,6,3.45,0.29,0.167
268,48507,9,16.49,12.83,9.018
269,48503,7,3.37,2.45,1.675
270,48503,7,1.15,0.176,0.12
271,48507,9,13.53,21.91,4.675
272,48504,6,2.23,1.573,0.84
273,48503,7,28.91,5.471,3.056
274,48503,7,6.60,1.929,0.417
275,48507,9,0.95,0.27,0.207
276,48505,3,3.48,0.434,0.306
278,48503,7,1.89,0.359,0.322
279,48503,7,13.95,12.2,8.251
280,48504,6,6.27,4.036,1.182
281,48506,7,19.12,22.02,7.968
282,48507,9,1.63,0.465,0.238
283,48503,7,1.11,0.605,0.255
284,48503,7,3.90,0.558,0.504
285,48504,1,3.52,0.45,0.321
286,48507,9,3.83,0.794,0.339
287,48505,3,3.24,0.738,0.27
289,48503,7,0.99,0.25,0.263
290,48507,9,1.20,19.26,1.626
291,48506,3,2.26,0.102,0.407
292,48503,4,16.99,6.32,3.585
293,48503,7,3.32,2.559,1.512
294,48506,4,14.33,1.284,0.323
295,48503,7,18.11,20.21,4.263
296,48503,7,12.81,7.874,1.78
298,48503,7,1.08,0.322,0.26
299,48503,7,29.59,3.258,1.843
300,48505,1,4.29,4.345,4.905
