Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
2000-01,Garth Joseph,C,27,DEN,2,8,-21.3,0,0,0.667,0,0,0,0,0,8.6,20.5,27.2,-0.1,0,-0.1,-0.707,-24.7,-8.9,-33.6,-0.1,josepga01
2000-01,Adam Keefe,PF,30,GSW,67,836,9.7,0.45,0.019,0.396,10.5,16.4,13.3,6.5,1.7,1.7,17.6,11.5,0.1,0.5,0.6,0.032,-3.5,-0.7,-4.3,-0.5,keefead01
2000-01,Shawn Kemp,PF,31,POR,68,1083,11.4,0.469,0.027,0.317,7.2,20.9,14.3,9.9,2.2,1.6,17.4,24.5,-0.8,1.7,0.9,0.041,-4.8,0.1,-4.8,-0.7,kempsh01
2000-01,Steve Kerr,PG,35,SAS,55,650,10.6,0.546,0.484,0.094,1.1,4.8,3,14.1,1.3,0.1,11.3,13.5,0.8,0.6,1.5,0.108,-0.5,0.5,0,0.3,kerrst01
2000-01,Jerome Kersey,SF,38,MIL,22,243,12.9,0.473,0.014,0.232,3.8,17.1,10.5,9.4,3,2.4,7.3,15.3,0.2,0.3,0.5,0.101,-2.5,2.2,-0.3,0.1,kerseje01
2000-01,Lari Ketner,PF,23,IND,3,7,-10.6,,,,0,0,0,20.2,0,0,100,13.3,-0.1,0,-0.1,-0.383,-13.9,-1.5,-15.4,0,ketnela01
2000-01,Jason Kidd*,PG,27,PHO,77,3065,19.4,0.51,0.211,0.367,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,4.2,5.4,9.6,0.15,2.4,1.7,4.2,4.8,kiddja01
2000-01,Gerard King,SF,28,WAS,45,706,10.1,0.552,0,0.256,6.3,15.2,10.7,7.4,1,1.1,19.4,15.3,0.3,0.2,0.5,0.035,-2.7,-0.6,-3.3,-0.2,kingge02
2000-01,Brevin Knight,PG,25,TOT,53,1457,12.5,0.416,0.027,0.178,1.8,11.2,6.4,33.7,3.6,0.2,18.5,15.1,0,1.6,1.6,0.054,-3,1.6,-1.4,0.2,knighbr01
2000-01,Brevin Knight,PG,25,CLE,6,93,6.5,0.255,0,0.4,1.2,7.5,4.4,38,3.4,0.8,28.4,12,-0.1,0.1,-0.1,-0.03,-5.5,1.6,-3.9,0,knighbr01
2000-01,Brevin Knight,PG,25,ATL,47,1364,12.9,0.424,0.028,0.169,1.8,11.4,6.6,33.4,3.6,0.2,18,15.3,0.1,1.6,1.7,0.06,-2.9,1.6,-1.3,0.3,knighbr01
2000-01,Travis Knight,C,26,NYK,45,256,0.9,0.238,0.019,0.34,9.3,15.6,12.5,3,1.1,3.5,14.1,13.5,-0.7,0.5,-0.3,-0.049,-8.6,0,-8.6,-0.4,knightr01
2000-01,Toni Kukoč*,SF,32,TOT,65,1597,17.8,0.553,0.27,0.275,4.7,13.5,9.1,22.7,1.6,0.5,14.5,21.5,2.9,1.7,4.7,0.14,3,0.2,3.2,2.1,kukocto01
2000-01,Toni Kukoč*,SF,32,PHI,48,979,15.3,0.523,0.236,0.267,5.5,13,9.4,16.5,1.9,0.4,14,19.8,1.1,1.3,2.5,0.121,1.4,0.7,2.1,1,kukocto01
2000-01,Toni Kukoč*,SF,32,ATL,17,618,21.8,0.59,0.313,0.286,3.4,14.2,8.7,32.5,1.1,0.6,15.2,24.2,1.8,0.4,2.2,0.17,5.5,-0.7,4.8,1.1,kukocto01
2000-01,Christian Laettner,C-PF,31,TOT,78,1663,17,0.568,0.024,0.37,8.1,16.9,12.5,12.7,2.2,2,17.6,21.1,2.5,1.8,4.3,0.124,0,0.7,0.6,1.1,laettch01
2000-01,Christian Laettner,C,31,DAL,53,930,16.7,0.554,0.009,0.254,9.2,16,12.7,12,2.2,2.1,16.3,21,1.3,1.3,2.6,0.134,-0.5,1.3,0.8,0.6,laettch01
2000-01,Christian Laettner,PF,31,WAS,25,733,17.6,0.586,0.044,0.535,6.7,17.9,12.2,13.7,2.2,1.9,19.2,21.2,1.2,0.5,1.7,0.112,0.6,-0.1,0.4,0.5,laettch01
2000-01,Raef LaFrentz,C,24,DEN,78,2457,17.6,0.544,0.171,0.323,7.6,19.4,13.4,7.3,0.8,5.8,9.5,18.6,4.3,2.5,6.8,0.132,0.1,0.7,0.8,1.8,lafrera01
2000-01,Trajan Langdon,SG,24,CLE,65,1116,11.8,0.561,0.396,0.243,1.2,8,4.6,11.9,1.8,0.6,13.1,16.1,1.5,0.5,2,0.086,-0.9,-0.1,-1,0.3,langdtr01
2000-01,Dan Langhi,SF,23,HOU,33,241,9.4,0.403,0.01,0.293,6.4,13.1,9.8,2.8,1.5,0.3,6.7,22.9,-0.2,0.2,-0.1,-0.014,-4,-2.3,-6.3,-0.3,langhda01
2000-01,Voshon Lenard,SG,27,DEN,80,2331,13.2,0.522,0.452,0.227,2.2,8.7,5.4,13.4,1.4,0.5,9.9,19.7,2.9,0.6,3.5,0.072,0.2,-1.1,-0.8,0.7,lenarvo01
2000-01,Quincy Lewis,SF,23,UTA,35,402,7.1,0.469,0.203,0.171,4.4,10,7.2,7.2,1.3,2,11.4,17.1,0,0.3,0.3,0.041,-4.3,-0.2,-4.5,-0.3,lewisqu01
2000-01,Rashard Lewis,PF,21,SEA,78,2720,17.3,0.587,0.321,0.24,6.1,16.7,11.4,7.6,1.8,1.2,11.6,18.4,5.9,2.1,8,0.142,2.4,-0.4,2.1,2.8,lewisra02
2000-01,Randy Livingston,PG,25,GSW,2,7,-3.7,0,0.5,0,0,16.5,7.6,19.2,0,0,0,12.1,0,0,0,-0.222,-11.2,-4.4,-15.6,0,livinra01
2000-01,Art Long,PF,28,SAC,9,20,-3.6,0,0,0.5,11.1,31.5,21.5,6.4,0,10,29.1,15.2,-0.1,0.1,-0.1,-0.214,-15.4,1.6,-13.8,-0.1,longar01
2000-01,Grant Long,PF,34,VAN,66,1507,11.4,0.51,0.047,0.492,5.8,14.9,10.4,8.7,2.5,0.7,13.8,13.6,1,1.4,2.4,0.078,-2.3,1.2,-1.1,0.3,longgr01
2000-01,Luc Longley,C,32,NYK,25,301,3.7,0.399,0,0.315,10.8,15.6,13.3,3.7,0.6,2.4,26.4,13.6,-0.5,0.5,0,0,-7,0.6,-6.4,-0.3,longllu01
2000-01,Felipe López,SG-PG,26,TOT,70,1565,12.5,0.503,0.109,0.326,4,13.5,8.7,11.3,2.1,1.4,13.2,18,0.9,1,1.9,0.057,-1.2,0.2,-1,0.4,lopezfe01
2000-01,Felipe López,SG,26,WAS,47,1108,11.9,0.5,0.089,0.377,3.1,14,8.4,11.1,1.9,1.2,12.8,17.5,0.6,0.5,1.1,0.049,-1.6,0,-1.5,0.1,lopezfe01
2000-01,Felipe López,PG,26,MIN,23,457,13.9,0.51,0.151,0.217,6.2,12.4,9.2,11.6,2.4,1.9,14,19.1,0.3,0.5,0.7,0.077,-0.3,0.5,0.2,0.3,lopezfe01
2000-01,Tyronn Lue,PG,23,LAL,38,468,8.7,0.51,0.291,0.205,1.2,6.4,3.9,14.3,2.1,0,17.5,14.8,0.2,0.2,0.4,0.042,-3.6,-0.4,-4,-0.2,luety01
2000-01,George Lynch,SF,30,PHI,82,2649,12.4,0.496,0.093,0.278,8.7,16.3,12.6,8.4,2,0.8,13.6,13.7,2.3,4.2,6.5,0.118,-0.8,1.3,0.5,1.7,lynchge01
2000-01,Todd MacCulloch,C,25,PHI,63,597,18.3,0.607,0,0.357,13.3,18.4,15.9,3.1,0.6,2.3,11.2,18.3,1.6,0.9,2.5,0.199,0.3,-0.4,-0.1,0.3,maccuto01
2000-01,Don MacLean,SF,31,MIA,8,76,16.3,0.613,0.1,0.6,11,17.2,14.1,9.6,3.6,1,28.3,22.5,0,0.2,0.2,0.12,-1.4,2.2,0.9,0.1,macledo01
2000-01,Mark Madsen,PF,25,LAL,70,641,9.2,0.53,0.009,0.327,13.2,13.6,13.4,5.4,0.7,0.9,17.3,10.9,0.8,0.3,1.1,0.085,-2.9,-1.6,-4.5,-0.4,madsema01
2000-01,Corey Maggette,SF,21,LAC,69,1359,18.2,0.562,0.115,0.591,7.6,16.6,12.3,10.8,1.4,0.5,14.7,24.5,2.7,1.1,3.9,0.137,1.2,-1,0.2,0.7,maggeco01
2000-01,Jamaal Magloire,C,22,CHH,74,1095,13.4,0.506,0.007,0.535,10.8,19.9,15.4,4.2,0.9,5.2,15.4,16.7,0.6,2,2.6,0.114,-3,0.8,-2.2,-0.1,magloja01
2000-01,Dan Majerle,SG,35,MIA,53,1306,9.4,0.48,0.699,0.17,1.8,13.3,7.6,11,2.2,0.9,11.2,11.6,0.5,2.1,2.6,0.097,-1.9,2.3,0.4,0.8,majerda01
2000-01,Karl Malone*,PF,37,UTA,81,2895,24.7,0.572,0.004,0.503,5,23.3,14.3,24.1,1.7,1.7,12.9,30,9.1,4,13.1,0.217,5.5,1.1,6.6,6.3,malonka01
