,X,title,year,runtime,genre1,certificate,rating,director,cast,gross,votes
5275,5275,Sólo falta el asesino,1992,94,Comedy,PG-13,5.9,Eugene Levy,John Candy|Jim Belushi|Cybill Shepherd|Sean Young,8669847,3622
5276,5276,El bosque de colores,1993,71,Animation,PG-13,6.5,Charles Grosvenor,Michael Crawford|Ben Vereen|Ellen Blain|Benji Gregory,1.00E+07,4652
5277,5277,Érase una vez en América,1984,229,Crime,R,8.4,Sergio Leone,Robert De Niro|James Woods|Elizabeth McGovern|Treat Williams,5321508,285747
5279,5279,El mexicano,2003,102,Action,PG-13,6.4,Robert Rodriguez,Antonio Banderas|Salma Hayek|Johnny Depp|Willem Dafoe,56359780,147472
5281,5281,Guerreros de antaño,1994,102,Crime,R,7.9,Lee Tamahori,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell|Julian Arahanga,2201126,29846
5282,5282,Ondine. La leyenda del mar,2009,111,Drama,PG,6.8,Neil Jordan,Colin Farrell|Alicja Bachleda|Dervla Kirwan|Alison Barry,548934,19250
5284,5284,One Day (Siempre el mismo día),2011,107,Drama,PG,7,Lone Scherfig,Anne Hathaway|Jim Sturgess|Patricia Clarkson|Tom Mison,13843771,130458
5286,5286,187 más mentes peligrosas,1997,119,Drama,R,6.7,Kevin Reynolds,Samuel L. Jackson|John Heard|Kelly Rowan|Clifton Collins Jr.,5716080,20901
5287,5287,Un paso en falso,1992,105,Crime,R,7.1,Carl Franklin,Bill Paxton|Billy Bob Thornton|Cynda Williams|Michael Beach,1543112,9094
5288,5288,Un día inolvidable,1996,108,Comedy,PG-13,6.5,Michael Hoffman,Michelle Pfeiffer|George Clooney|Mae Whitman|Alex D. Linz,46151454,41173
5289,5289,Alguien voló sobre el nido del cuco,1975,133,Drama,R,8.7,Milos Forman,Jack Nicholson|Louise Fletcher|Will Sampson|Michael Berryman,1.12E+08,852390
5290,5290,Un buen policía,1991,114,Action,PG-13,5.9,Heywood Gould,Michael Keaton|Rene Russo|Anthony LaPaglia|Kevin Conway,11276846,3632
5291,5291,Retratos de una obsesión,2002,96,Drama,R,6.8,Mark Romanek,Robin Williams|Connie Nielsen|Michael Vartan|Dylan Smith,31597131,109569
5293,5293,Navidades mágicas,1985,89,Family,PG-13,6.6,Phillip Borsos,Mary Steenburgen|Gary Basaraba|Harry Dean Stanton|Arthur Hill,13677222,2772
5294,5294,Llamada perdida,2008,87,Horror,PG-13,4,Eric Valette,Edward Burns|Shannyn Sossamon|Ana Claudia Talancón|Ray Wise,26876529,29905
5295,5295,Después de una noche,1997,102,Drama,PG-13,5.8,Mike Figgis,Wesley Snipes|Nastassja Kinski|Kyle MacLachlan|Ming-Na Wen,2618335,6286
5296,5296,Divina pero peligrosa,2001,93,Comedy,PG-13,6.1,Harald Zwart,Liv Tyler|Matt Dillon|Mary Jo Smith|Michael Douglas,6290673,27714
5297,5297,Una noche con el rey,2006,123,Biography,PG,6.2,Michael O. Sajbel,Tiffany Dupont|Luke Goss|John Noble|Omar Sharif,13395961,6496
5298,5298,Cosas que importan,1998,127,Drama,PG-13,7,Carl Franklin,Meryl Streep|Renée Zellweger|William Hurt|Tom Everett Scott,23245840,10782
5300,5300,La cazarrecompensas,2012,91,Action,PG,5.3,Julie Anne Robinson,Katherine Heigl|Jason O'Mara|Daniel Sunjata|John Leguizamo,26414527,38926
5308,5308,Onegin,1999,106,Drama,PG,6.9,Martha Fiennes,Ralph Fiennes|Liv Tyler|Toby Stephens|Lena Headey,206128,7174
5309,5309,Ong Bak,2003,108,Action,PG-13,7.2,Prachya Pinkaew,Tony Jaa|Petchtai Wongkamlao|Pumwaree Yodkamol|Suchao Pongwilai,4560061,68409
5311,5311,Sólo Dios perdona,2013,90,Action,PG-13,5.7,Nicolas Winding Refn,Ryan Gosling|Kristin Scott Thomas|Vithaya Pansringarm|Gordon Brown,778565,102335
5312,5312,Sólo tú,1994,115,Comedy,PG-13,6.5,Norman Jewison,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt|Joaquim de Almeida,20042048,18926
5313,5313,Yo tú y mamá,1991,104,Comedy,PG-13,6.4,Chris Columbus,John Candy|Maureen O'Hara|Ally Sheedy|Kevin Dunn,21830957,9492
5314,5314,Sólo el más fuerte,1993,99,Action,R,6.6,Sheldon Lettich,Mark Dacascos|Stacey Travis|Geoffrey Lewis|Paco Christian Prieto,3273588,5317
5315,5315,Open Range,2003,139,Action,PG-13,7.4,Kevin Costner,Kevin Costner|Robert Duvall|Diego Luna|Abraham Benrubi,58331254,63217
5316,5316,Colegas en el bosque,2006,86,Animation,PG-13,6.1,Roger Allers,Jill Culton|Anthony Stacchi|Ashton Kutcher|Martin Lawrence|Debra Messing|Gary Sinise,85105259,80766
5319,5319,Em Águas Profundas,2003,79,Adventure,PG-13,5.7,Chris Kentis,Blanchard Ryan|Daniel Travis|Saul Stein|Michael E. Williamson,30610863,49009
5321,5321,Operación Elefante,1995,107,Action,PG-13,5.1,Simon Wincer,Danny Glover|Ray Liotta|Denis Leary|Doug E. Doug,24700000,8087
5324,5324,La oportunidad llama a la puerta,1990,103,Comedy,PG-13,6.1,Donald Petrie,Dana Carvey|Robert Loggia|Todd Graff|Julia Campbell,11359129,2704
5325,5325,Orange County (Colgado pringado y sin carrera),2002,82,Comedy,PG-13,6.2,Jake Kasdan,Colin Hanks|Jack Black|Schuyler Fisk|Bret Harrison,41032915,45353
5327,5327,Orca: La ballena asesina,1977,92,Adventure,PG-13,5.8,Michael Anderson,Richard Harris|Charlotte Rampling|Will Sampson|Bo Derek,14717854,9772
5330,5330,Gente corriente,1980,124,Drama,PG,7.7,Robert Redford,Donald Sutherland|Mary Tyler Moore|Judd Hirsch|Timothy Hutton,54800000,43224
5331,5331,Orgazmo,1997,94,Comedy,PG-13,6.1,Trey Parker,Trey Parker|Dian Bachar|Robyn Lynne Raab|Michael Dean Jacobs,582024,33198
5332,5332,Pecado original,2001,116,Drama,R,6.1,Michael Cristofer,Antonio Banderas|Angelina Jolie|Thomas Jane|Jack Thompson,16252765,51323
5333,5333,Orlando,1992,94,Biography,PG-13,7.2,Sally Potter,Tilda Swinton|Billy Zane|Quentin Crisp|Jimmy Somerville,5289772,12613
5334,5334,La huérfana,2009,123,Horror,R,6.9,Jaume Collet-Serra,Vera Farmiga|Peter Sarsgaard|Isabelle Fuhrman|CCH Pounder,41596251,180065
5335,5335,Oscar ¡quita las manos!,1991,109,Comedy,PG-13,6.5,John Landis,Sylvester Stallone|Ornella Muti|Peter Riegert|Chazz Palminteri,23562716,28115
5336,5336,Oscar y Lucinda,1997,132,Drama,PG-13,6.6,Gillian Armstrong,Ralph Fiennes|Cate Blanchett|Ciarán Hinds|Tom Wilkinson,1508689,6259
5337,5337,Osmosis Jones,2001,95,Animation,PG,6.3,Bobby Farrelly,Peter Farrelly|Laurence Fishburne|Chris Rock|David Hyde Pierce|Brandy Norwood,13596911,30365
5338,5338,Otelo,1995,123,Drama,PG-13,6.9,Oliver Parker,Laurence Fishburne|Kenneth Branagh|Irène Jacob|Nathaniel Parker,2112951,8669
5340,5340,Con el dinero de los demás,1991,103,Comedy,PG,6.2,Norman Jewison,Danny DeVito|Gregory Peck|Penelope Ann Miller|Piper Laurie,25682090,7491
5342,5342,La boda de mi familia,2010,103,Comedy,PG,5,Rick Famuyiwa,America Ferrera|Forest Whitaker|Carlos Mencia|Regina King,20246959,6494
5343,5343,O Idiota do Nosso Irmão,2011,90,Comedy,PG-13,6.4,Jesse Peretz,Paul Rudd|Elizabeth Banks|Zooey Deschanel|Nick Sullivan,24814830,81619
5344,5344,Un traidor como los nuestros,2016,108,Crime,PG-13,6.2,Susanna White,Carlos Acosta|Radivoje Bukvic|Stellan Skarsgård|Mariya Fomina,3152725,18465
5348,5348,Pirados por la nieve,2001,92,Comedy,PG-13,6.3,Brendan Malloy,Emmett Malloy|Flex Alexander|David Denman|A.J. Cook|Caroline Dhavernas,13903262,16212
5349,5349,Memorias de África,1985,161,Biography,PG-13,7.2,Sydney Pollack,Meryl Streep|Robert Redford|Klaus Maria Brandauer|Michael Kitchen,87100000,66338
5350,5350,Fuera de límites,1986,93,Action,PG-13,5.4,Richard Tuggle,Anthony Michael Hall|Jenny Wright|Jeff Kober|Glynn Turman,5099316,1155
5352,5352,Out of sight (Un romance muy peligroso),1998,123,Comedy,PG-13,7,Steven Soderbergh,George Clooney|Jennifer Lopez|Ving Rhames|Steve Zahn,37562568,80962
5353,5353,A contrarreloj,2003,105,Crime,PG-13,6.5,Carl Franklin,Denzel Washington|Sanaa Lathan|Eva Mendes|Dean Cain,40905277,53830
5354,5354,Caerse del guindo,1992,105,Comedy,PG-13,5.4,Francis Veber,Matthew Broderick|Jeffrey Jones|Heidi Kling|John C. Reilly,1659542,1480
5355,5355,Por rumbas y a lo loco,1997,106,Comedy,PG,6.1,Martha Coolidge,Jack Lemmon|Walter Matthau|Dyan Cannon|Gloria DeHaven,27974168,7467
5357,5357,Estallido,1995,127,Action,PG-13,6.6,Wolfgang Petersen,Dustin Hoffman|Rene Russo|Morgan Freeman|Kevin Spacey,67823573,102389
5358,5358,Atmósfera cero,1981,109,Action,PG-13,6.6,Peter Hyams,Sean Connery|Frances Sternhagen|Peter Boyle|James Sikking,17374595,25424
5359,5359,Outlander,2008,115,Action,PG,6.2,Howard McCain,Jim Caviezel|Sophia Myles|Ron Perlman|Jack Huston,160641,69477
5364,5364,Increíble suerte,1987,99,Comedy,PG-13,6.2,Arthur Hiller,Shelley Long|Bette Midler|Peter Coyote|Robert Prosky,52864741,6861
5365,5365,No puedo perderte por algo tan tonto como el sexo,1999,96,Comedy,R,6.4,Michael Corrente,Shawn Hatosy|Amy Smart|Alec Baldwin|Tommy Bone,7292175,8282
5366,5366,Desaparecido na Índia,2006,103,Comedy,PG,7,John Jeffcoat,Josh Hamilton|Ayesha Dharker|Asif Basra|Matt Smith,161593,10886
5367,5367,Por encima de su cadáver,2008,95,Comedy,PG,5.2,Jeff Lowell,Eva Longoria|Paul Rudd|Lake Bell|Jason Biggs,7563670,23224
5370,5370,Vecinos invasores,2006,83,Animation,PG-13,6.7,Tim Johnson,Karey Kirkpatrick|Bruce Willis|Garry Shandling|Steve Carell|Wanda Sykes,155019340,150626
5371,5371,Yo el Halcón,1987,93,Action,G,5.8,Menahem Golan,Sylvester Stallone|Robert Loggia|Susan Blakely|Rick Zumwalt,16057580,47084
5372,5372,Un mar de líos,1987,106,Comedy,G,6.9,Garry Marshall,Goldie Hawn|Kurt Russell|Edward Herrmann|Katherine Helmond,26713187,48866
5376,5376,Owning Mahowny,2003,104,Crime,R,7.1,Richard Kwietniowski,Philip Seymour Hoffman|Minnie Driver|John Hurt|Maury Chaykin,1011054,12047
5377,5377,A Descoberta,1984,97,Comedy,G,5.3,Robert Boris,Rob Lowe|Ally Sheedy|Amanda Pays|Julian Sands,8793152,2789
5379,5379,Oz un mundo de fantasía,2013,130,Adventure,PG,6.3,Sam Raimi,James Franco|Michelle Williams|Rachel Weisz|Mila Kunis,234911825,193856
5380,5380,P.S. - Amo-te,2004,97,Comedy,PG,6.1,Dylan Kidd,Laura Linney|Topher Grace|Marcia Gay Harden|Gabriel Byrne,175408,5818
5381,5381,Posdata: Te quiero,2007,126,Comedy,G,7,Richard LaGravenese,Hilary Swank|Gerard Butler|Harry Connick Jr.|Lisa Kudrow,53695808,193564
5382,5382,Parking 2,2007,98,Crime,PG-13,5.9,Franck Khalfoun,Rachel Nichols|Wes Bentley|Simon Reynolds|Philip Akin,3992339,30043
5383,5383,P.C.U.,1994,79,Comedy,PG-13,6.6,Hart Bochner,Jeremy Piven|Chris Young|Megan Ward|Jon Favreau,4350774,11571
5384,5384,De repente un extraño,1990,102,Thriller,PG,6.4,John Schlesinger,Melanie Griffith|Matthew Modine|Michael Keaton|Mako,29381956,16743
5385,5385,Pacific Rim,2013,131,Action,PG,6.9,Guillermo del Toro,Idris Elba|Charlie Hunnam|Rinko Kikuchi|Charlie Day,101802906,449639
5386,5386,Pacific Rim: Insurrección,2018,111,Action,PG,5.6,Steven S. DeKnight,John Boyega|Scott Eastwood|Cailee Spaeny|Burn Gorman,59874525,94190
5388,5388,Vingança Total,2002,97,Action,R,7,Charles Stone III,Mekhi Phifer|Wood Harris|Chi McBride|Kevin Carroll,3042188,9687
5389,5389,Dolor y dinero,2013,129,Comedy,PG-13,6.4,Michael Bay,Mark Wahlberg|Dwayne Johnson|Anthony Mackie|Tony Shalhoub,49875291,190871
5391,5391,El jinete pálido,1985,115,Drama,PG-13,7.3,Clint Eastwood,Clint Eastwood|Michael Moriarty|Carrie Snodgress|Sydney Penny,41410568,48885
5392,5392,Seducción letal,1998,114,Crime,PG-13,6.1,Volker Schlöndorff,Woody Harrelson|Elisabeth Shue|Gina Gershon|Rolf Hoppe,5840581,7315
5393,5393,Pan: Viaje a Nunca Jamás,2015,111,Adventure,PG,5.7,Joe Wright,Levi Miller|Hugh Jackman|Garrett Hedlund|Rooney Mara,35088320,56877
5394,5394,El laberinto del fauno,2006,118,Drama,R,8.2,Guillermo del Toro,Ivana Baquero|Ariadna Gil|Sergi López|Maribel Verdú,37634615,583685
5395,5395,Pandorum,2009,108,Action,PG,6.7,Christian Alvart,Dennis Quaid|Ben Foster|Cam Gigandet|Antje Traue,10330853,138450
5396,5396,Panic,2000,88,Comedy,R,6.6,Henry Bromell,William H. Macy|Neve Campbell|John Ritter|Donald Sutherland,779137,7796
5397,5397,La habitación del pánico,2002,113,Crime,PG-13,6.8,David Fincher,Jodie Foster|Kristen Stewart|Forest Whitaker|Dwight Yoakam,96397334,242128
5398,5398,Panther,1995,124,Drama,R,6.5,Mario Van Peebles,Kadeem Hardison|Bokeem Woodbine|Joe Don Baker|Courtney B. Vance,6834525,2131
5399,5399,Paparazzi,2004,84,Action,PG-13,5.8,Paul Abascal,Cole Hauser|Robin Tunney|Dennis Farina|Daniel Baldwin,15712072,14246
5400,5400,Tempo de Crescer,2009,110,Comedy,R,6.6,Kieran Mulroney,Michele Mulroney|Jeff Daniels|Emma Stone|Ryan Reynolds|Lisa Kudrow,15388,17541
5406,5406,Paradise,1982,100,Adventure,PG-13,4.9,Stuart Gillard,Willie Aames|Phoebe Cates|Tuvia Tavi|Richard Curnock,5588800,2261
5407,5407,Un lugar llamado paraíso,1991,111,Drama,PG-13,6.7,Mary Agnes Donoghue,Melanie Griffith|Don Johnson|Elijah Wood|Thora Birch,18634643,2564
5410,5410,Camino al paraíso,1997,122,Drama,PG-13,6.8,Bruce Beresford,Glenn Close|Frances McDormand|Pauline Collins|Cate Blanchett,1921471,4848
5411,5411,El poder del dinero,2013,106,Drama,PG,5.7,Robert Luketic,Liam Hemsworth|Gary Oldman|Harrison Ford|Amber Heard,7376027,33554
5412,5412,Paranormal Activity,2007,86,Horror,PG-13,6.3,Oren Peli,Katie Featherston|Micah Sloat|Mark Fredrichs|Amber Armstrong,107918810,211226
5413,5413,Paranormal Activity 2,2010,91,Horror,PG-13,5.6,Tod Williams,Katie Featherston|Micah Sloat|Molly Ephraim|David Bierend,84752907,94670
5414,5414,Paranormal Activity 3,2011,83,Horror,PG-13,5.8,Henry Joost,Ariel Schulman|Chloe Csengery|Jessica Tyler Brown|Christopher Nicholas Smith|Lauren Bittner,104007828,86894
5415,5415,Paranormal Activity 4,2012,88,Horror,PG,4.6,Henry Joost,Ariel Schulman|Stephen Dunham|Katie Featherston|Matt Shively|Brendon Eggertsen,53921300,59492
5416,5416,Paranormal Activity: Dimensión fantasma,2015,88,Horror,PG-13,4.6,Gregory Plotkin,Chris J. Murray|Brit Shaw|Ivy George|Dan Gill,18300124,23063
5417,5417,Abuelos al poder,2012,105,Comedy,G,6,Andy Fickman,Billy Crystal|Bette Midler|Marisa Tomei|Tom Everett Scott,77267296,24018
5418,5418,Dulce hogar... ¡a veces!,1989,124,Comedy,PG,7,Ron Howard,Steve Martin|Mary Steenburgen|Dianne Wiest|Jason Robards,100047830,41953
5419,5419,Morgue ao Domicílio,1989,81,Comedy,PG-13,6.2,Bob Balaban,Randy Quaid|Mary Beth Hurt|Sandy Dennis|Bryan Madorsky,870532,5891
5420,5420,París Texas,1984,145,Drama,G,8.1,Wim Wenders,Harry Dean Stanton|Nastassja Kinski|Dean Stockwell|Aurore Clément,2181987,77849
5421,5421,Parker,2013,118,Action,PG-13,6.2,Taylor Hackford,Jason Statham|Jennifer Lopez|Michael Chiklis|Nick Nolte,17616641,107345
5422,5422,Miradas en la despedida,1986,90,Drama,PG-13,7.2,Bill Sherwood,John Bolger|Richard Ganoung|Steve Buscemi|Adam Nathan,537681,2564
5423,5423,Algo más que colegas,1982,93,Comedy,PG,5.3,James Burrows,Ryan O'Neal|John Hurt|Kenneth McMillan|Robyn Douglass,6062898,1050
5425,5425,Party Girl,1995,94,Comedy,R,6.6,Daisy von Scherler Mayer,Parker Posey|Omar Townsend|Anthony DeSando|Guillermo Díaz,472370,4189
5426,5426,Party Monster,2003,98,Biography,R,6.3,Fenton Bailey,Randy Barbato|Macaulay Culkin|Wilson Cruz|Seth Green|Diana Scarwid,728253,14354
5429,5429,Pasajero 57,1992,84,Action,PG-13,5.9,Kevin Hooks,Wesley Snipes|Bruce Payne|Tom Sizemore|Alex Datcher,44065653,42755
5430,5430,Passengers,2016,116,Drama,PG,7,Morten Tyldum,Jennifer Lawrence|Chris Pratt|Michael Sheen|Laurence Fishburne,100014699,320568
5431,5431,Passageiros,2008,93,Drama,PG-13,5.9,Rodrigo García,Anne Hathaway|Patrick Wilson|David Morse|Andre Braugher,270659,32559
5432,5432,Paixão,2012,102,Drama,PG-13,5.3,Brian De Palma,Rachel McAdams|Noomi Rapace|Karoline Herfurth|Paul Anderson,91186,20474
5434,5434,Passion Fish,1992,135,Drama,PG-13,7.4,John Sayles,Mary McDonnell|Alfre Woodard|Angela Bassett|Lenore Banks,5414619,4705
5435,5435,O Anjo do Desejo,2010,94,Drama,R,4.6,Mitch Glazer,Mickey Rourke|Megan Fox|Bill Murray|Kelly Lynch,3669,7123
5437,5437,Patch Adams,1998,115,Biography,PG-13,6.8,Tom Shadyac,Robin Williams|Daniel London|Monica Potter|Philip Seymour Hoffman,135026902,97616
5440,5440,El guía del desfiladero,2007,99,Action,PG,5.4,Marcus Nispel,Karl Urban|Clancy Brown|Moon Bloodgood|Russell Means,10232081,41263
5442,5442,Juegos criminales,2008,95,Crime,R,6,Marc Schölermann,Alyssa Milano|Milo Ventimiglia|Keir O'Donnell|Michael Weston,108662,29831
5444,5444,Juego de patriotas,1992,117,Action,R,6.9,Phillip Noyce,Harrison Ford|Sean Bean|Anne Archer|Patrick Bergin,83287363,95982
5446,5446,Paul,2011,104,Adventure,PG,7,Greg Mottola,Simon Pegg|Nick Frost|Seth Rogen|Mia Stallard,37412945,224304
5447,5447,Superpoli de centro comercial,2009,91,Action,PG,5.2,Steve Carr,Kevin James|Keir O'Donnell|Jayma Mays|Raini Rodriguez,20819129,97557
5448,5448,Superpoli en Las Vegas,2015,94,Action,G,4.4,Andy Fickman,Kevin James|Raini Rodriguez|Eduardo Verástegui|Daniella Alonso,71038190,31765
5454,5454,El asedio,2013,88,Action,R,5.7,David A. Armstrong,Jessica Szohr|Forest Whitaker|Nikki Reed|Sean Faris,2137,6623
5455,5455,Cadena de favores,2000,123,Drama,PG-13,7.2,Mimi Leder,Kevin Spacey|Haley Joel Osment|Helen Hunt|Jay Mohr,33519628,108449
5456,5456,Payback,1999,100,Action,R,7.1,Brian Helgeland,Mel Gibson|Gregg Henry|Maria Bello|David Paymer,81526121,126212
5457,5457,Paycheck,2003,119,Action,PG-13,6.3,John Woo,Ben Affleck|Aaron Eckhart|Uma Thurman|Michael C. Hall,53790451,99145
5458,5458,Paz amor y malentendidos,2011,96,Comedy,PG,5.9,Bruce Beresford,Jane Fonda|Catherine Keener|Elizabeth Olsen|Nat Wolff,539896,7568
5459,5459,El guerrero pacífico,2006,120,Drama,PG,7.3,Victor Salva,Scott Mechlowicz|Nick Nolte|Amy Smart|Tim DeKay,3960414,25206
5460,5460,Pearl Harbor,2001,183,Action,PG,6.2,Michael Bay,Ben Affleck|Kate Beckinsale|Josh Hartnett|William Lee Scott,198542554,297528
5461,5461,Pecker,1998,87,Comedy,PG-13,6.3,John Waters,Edward Furlong|Christina Ricci|Bess Armstrong|Mark Joy,2281761,12861
5462,5462,La gran aventura de Pee-wee,1985,91,Adventure,PG-13,7,Tim Burton,Paul Reubens|Elizabeth Daily|Mark Holton|Diane Salinger,40900000,47143
5465,5465,Peggy Sue se casó,1986,103,Comedy,PG-13,6.3,Francis Ford Coppola,Kathleen Turner|Nicolas Cage|Barry Miller|Catherine Hicks,41382841,30830
5466,5466,Penelope,2006,104,Comedy,G,6.7,Mark Palansky,Christina Ricci|James McAvoy|Reese Witherspoon|Richard E. Grant,10011274,58056
