,X,title,year,runtime,genre1,certificate,rating,director,cast,gross,votes
2,2,Alrededor de la medianoche,1986,133,Drama,PG,7.4,Bertrand Tavernier,Dexter Gordon|François Cluzet|Gabrielle Haker|Sandra Reaves-Phillips,3272600,4351
3,3,Hasta que te encontré,1997,113,Romance,PG-13,4.8,Scott Winant,Jeanne Tripplehorn|Dylan McDermott|John Plumpis|Janel Moloney,3478370,2558
4,4,Buenas noches madre,1986,96,Drama,PG-13,7.6,Tom Moore,Sissy Spacek|Anne Bancroft|Ed Berke|Carol Robbins,441863,1991
5,5,Nuestros maravillosos aliados,1987,106,Comedy,PG-13,6.7,Matthew Robbins,Hume Cronyn|Jessica Tandy|Frank McRae|Elizabeth Peña,32945797,29310
8,8,10 la mujer perfecta,1979,122,Comedy,R,6.1,Blake Edwards,Dudley Moore|Bo Derek|Julie Andrews|Robert Webber,74865517,14280
9,9,Calle Cloverfield 10,2016,103,Drama,PG,7.2,Dan Trachtenberg,John Goodman|Mary Elizabeth Winstead|John Gallagher Jr.|Douglas M. Griffin,72082998,268516
10,10,Dame 10 razones,2006,82,Comedy,PG,6.6,Brad Silberling,Morgan Freeman|Paz Vega|Jonah Hill|Anne Dudek,81416,13898
11,11,10 razones para odiarte,1999,97,Comedy,PG-13,7.3,Gil Junger,Heath Ledger|Julia Stiles|Joseph Gordon-Levitt|Larisa Oleynik,38176108,276118
12,12,10 Anos Depois,2011,100,Comedy,PG-13,6.1,Jamie Linden,Channing Tatum|Rosario Dawson|Chris Pratt|Jenna Dewan,203373,22806
13,13,Al filo de la medianoche,1983,101,Crime,R,6.3,J. Lee Thompson,Charles Bronson|Lisa Eilbacher|Andrew Stevens|Gene Davis,7100000,6017
14,14,10,2008,109,Action,PG,5.1,Roland Emmerich,Camilla Belle|Steven Strait|Marco Khan|Cliff Curtis,94784201,121354
17,17,101 dálmatas (¡Más vivos que nunca!),1996,103,Adventure,PG-13,5.7,Stephen Herek,Glenn Close|Jeff Daniels|Joely Richardson|Joan Plowright,136189294,94779
22,22,Doce monos,1995,129,Mystery,PG-13,8,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt|Joseph Melito,57141459,547856
23,23,12 trampas,2009,108,Action,PG,5.6,Renny Harlin,John Cena|Ashley Scott|Aidan Gillen|Steve Harris,12232937,26258
24,24,127 horas,2010,94,Biography,PG,7.6,Danny Boyle,James Franco|Amber Tamblyn|Kate Mara|Sean Bott,18335230,330076
27,27,El sueño de mi vida,2004,98,Comedy,PG,6.1,Gary Winick,Jennifer Garner|Mark Ruffalo|Judy Greer|Andy Serkis,57231747,153762
29,29,1408,2007,104,Fantasy,PG-13,6.8,Mikael Håfström,John Cusack|Samuel L. Jackson|Mary McCormack|Tony Shalhoub,71985628,245313
30,30,1492: La conquista del paraíso,1992,154,Adventure,PG-13,6.5,Ridley Scott,Gérard Depardieu|Armand Assante|Sigourney Weaver|Loren Dean,7191399,26586
31,31,15 minutos,2001,120,Action,R,6.1,John Herzfeld,Robert De Niro|Edward Burns|Kelsey Grammer|Avery Brooks,24403552,46889
32,32,16 calles,2006,102,Action,PG,6.6,Richard Donner,Bruce Willis|Yasiin Bey|David Morse|Jenna Stern,36883539,122844
34,34,17 otra vez,2009,102,Comedy,PG-13,6.3,Burr Steers,Zac Efron|Matthew Perry|Leslie Mann|Thomas Lennon,64167069,170188
36,36,1776,1972,141,Drama,G,7.6,Peter H. Hunt,William Daniels|Howard Da Silva|Ken Howard|Donald Madden,6104000,7265
37,37,Plantón al cielo,1988,93,Comedy,PG-13,5.8,Paul Flaherty,Charlie Schlatter|George Burns|Tony Roberts|Anita Morris,2567099,3974
39,39,1941,1979,118,Action,PG-13,5.8,Steven Spielberg,John Belushi|Dan Aykroyd|Treat Williams|Nancy Allen,31755742,29714
40,40,1969,1988,95,Drama,PG-13,5.8,Ernest Thompson,Robert Downey Jr.|Kiefer Sutherland|Bruce Dern|Mariette Hartley,5979011,3413
41,41,1984,1984,113,Drama,PG-13,7.1,Michael Radford,John Hurt|Richard Burton|Suzanna Hamilton|Cyril Cusack,8400000,61485
43,43,Dos días en Nueva York,2012,96,Comedy,PG,6,Julie Delpy,Julie Delpy|Chris Rock|Albert Delpy|Alexia Landeau,632824,13443
44,44,2 días en París,2007,96,Comedy,PG,6.8,Julie Delpy,Julie Delpy|Adam Goldberg|Daniel Brühl|Marie Pillet,4432981,29285
45,45,Dos días en el valle,1996,104,Comedy,R,6.5,John Herzfeld,Teri Hatcher|Jeff Daniels|Danny Aiello|Charlize Theron,11114000,17613
46,46,2 Fast 2 Furious: A todo gas 2,2003,107,Action,PG-13,5.9,John Singleton,Paul Walker|Tyrese Gibson|Cole Hauser|Eva Mendes,127154901,237011
48,48,200 cigarrillos,1999,101,Comedy,R,6,Risa Bramon Garcia,Ben Affleck|Casey Affleck|Dave Chappelle|Guillermo Díaz,6851636,14200
51,51,2010: Odisea dos,1984,116,Adventure,PG,6.8,Peter Hyams,Roy Scheider|John Lithgow|Helen Mirren|Bob Balaban,40200000,47451
52,52,2012,2009,158,Action,PG,5.8,Roland Emmerich,John Cusack|Thandie Newton|Chiwetel Ejiofor|Amanda Peet,166112167,334313
53,53,21: Black Jack,2008,123,Crime,PG-13,6.8,Robert Luketic,Jim Sturgess|Kate Bosworth|Kevin Spacey|Aaron Yoo,81159365,216890
54,54,Noche de marcha,2013,93,Comedy,PG-13,5.8,Jon Lucas,Scott Moore|Miles Teller|Justin Chon|Jonathan Keltz|Sarah Wright,25682380,69591
55,55,21 gramos,2003,124,Crime,R,7.7,Alejandro G. Iñárritu,Sean Penn|Benicio Del Toro|Naomi Watts|Danny Huston,16248701,215403
56,56,Infiltrados en clase,2012,109,Action,PG,7.2,Phil Lord,Christopher Miller|Jonah Hill|Channing Tatum|Ice Cube|Brie Larson,138447667,486254
58,58,24 Hour Party People,2002,117,Biography,R,7.3,Michael Winterbottom,Steve Coogan|Lennie James|John Thomson|Paul Popplewell,1130379,31008
59,59,La última noche,2002,135,Drama,PG-13,7.6,Spike Lee,Edward Norton|Barry Pepper|Philip Seymour Hoffman|Rosario Dawson,13060843,164119
60,60,27 vestidos,2008,111,Comedy,PG-13,6.1,Anne Fletcher,Katherine Heigl|James Marsden|Malin Akerman|Brian Kerwin,76808654,147068
61,61,28 días,2000,103,Comedy,PG-13,6,Betty Thomas,Sandra Bullock|Viggo Mortensen|Dominic West|Elizabeth Perkins,37170488,41608
62,62,28 días después,2002,113,Drama,R,7.6,Danny Boyle,Cillian Murphy|Naomie Harris|Christopher Eccleston|Alex Palmer,45064915,352359
64,64,28 semanas después,2007,100,Drama,PG-13,7,Juan Carlos Fresnadillo,Jeremy Renner|Rose Byrne|Robert Carlyle|Harold Perrineau,28638916,245720
66,66,3 Idiots,2009,170,Comedy,PG-13,8.4,Rajkumar Hirani,Aamir Khan|Madhavan|Mona Singh|Sharman Joshi,6532908,310696
67,67,Tres hombres y un bebé,1987,102,Comedy,PG,6,Leonard Nimoy,Tom Selleck|Steve Guttenberg|Ted Danson|Nancy Travis,167780960,44125
68,68,Tres hombres y una pequeña dama,1990,104,Comedy,PG,5.4,Emile Ardolino,Tom Selleck|Steve Guttenberg|Ted Danson|Nancy Travis,71609321,21172
69,69,Tres pequeños Ninjas,1992,84,Action,PG,5.3,Jon Turteltaub,Victor Wong|Michael Treanor|Max Elliott Slade|Chad Power,29000301,19118
70,70,3 ninjas contraatacan,1994,93,Family,PG,4.5,Charles T. Kanganis,Victor Wong|Max Elliott Slade|Sean Fox|J. Evan Bonifant,11784000,7995
71,71,Tres ninjas peleones,1995,85,Comedy,PG-13,4.3,Sang-ok Shin,Victor Wong|Charles Napier|Michael Treanor|Max Elliott Slade,407618,5040
72,72,3 ninjas en el parque de atracciones,1998,93,Action,PG,2.9,Sean McNamara,Loni Anderson|Hulk Hogan|Jim Varney|Victor Wong,375805,10362
73,73,La 3ª condena,2000,82,Comedy,PG-13,4.7,DJ Pooh,Brian Hooks|N'Bushe Wright|Faizon Love|E-40,9821335,2835
76,76,30 días de oscuridad,2007,113,Action,R,6.6,David Slade,Josh Hartnett|Melissa George|Danny Huston|Ben Foster,39568996,157943
77,77,30 minutos o menos,2011,83,Action,PG,6.1,Ruben Fleischer,Jesse Eisenberg|Danny McBride|Nick Swardson|Aziz Ansari,37053924,89045
78,78,300,2006,117,Action,R,7.7,Zack Snyder,Gerard Butler|Lena Headey|David Wenham|Dominic West,210614939,702616
79,79,Los reyes del crimen,2001,125,Action,R,6,Demian Lichtenstein,Kurt Russell|Kevin Costner|Courteney Cox|Christian Slater,15738632,42216
80,80,300: El origen de un imperio,2014,102,Action,PG-13,6.2,Noam Murro,Sullivan Stapleton|Eva Green|Lena Headey|Hans Matheson,106580051,267866
81,81,35 Up,1991,123,Documentary,PG-13,8.2,Michael Apted,Bruce Balden|Jacqueline Bassett|Symon Basterfield|Andrew Brackfield,922872,2064
82,82,360 - Juego de destinos,2011,110,Drama,PG-13,6.2,Fernando Meirelles,Rachel Weisz|Jude Law|Anthony Hopkins|Ben Foster,99603,15259
83,83,El tren de las 3:10,2007,122,Action,PG,7.7,James Mangold,Russell Crowe|Christian Bale|Ben Foster|Logan Lerman,53606916,274103
86,86,40 días y 40 noches,2002,96,Comedy,PG-13,5.6,Michael Lehmann,Josh Hartnett|Shannyn Sossamon|Paulo Costanzo|Adam Trese,37950822,68090
87,87,42: La verdadera historia de una leyenda del deporte,2013,128,Biography,PG,7.5,Brian Helgeland,Chadwick Boseman|T.R. Knight|Harrison Ford|Nicole Beharie,95001343,79171
88,88,42 Up,1998,139,Documentary,PG-13,8.3,Michael Apted,Bruce Balden|Jacqueline Bassett|Symon Basterfield|Andrew Brackfield,259068,2172
91,91,Límite: 48 horas,1982,96,Action,PG-13,6.9,Walter Hill,Nick Nolte|Eddie Murphy|Annette O'Toole|Frank McRae,78868508,64295
92,92,49 Up,2005,180,Documentary,PG-13,8.2,Michael Apted,Paul Almond|Bruce Balden|Jacqueline Bassett|Symon Basterfield|Andrew Brackfield,238073,2407
93,93,4:44 Último Dia na Terra,2011,82,Drama,PG-13,4.6,Abel Ferrara,Willem Dafoe|Shanyn Leigh|Natasha Lyonne|Paul Hipp,15738,4730
94,94,5 días de guerra,2011,113,Action,R,5.6,Renny Harlin,Rupert Friend|Emmanuelle Chriqui|Richard Coyle|Heather Graham,17149,13204
95,95,50 primeras citas,2004,99,Comedy,PG,6.8,Peter Segal,Adam Sandler|Drew Barrymore|Rob Schneider|Sean Astin,120908074,309315
96,96,50/50,2011,100,Comedy,PG-13,7.6,Jonathan Levine,Joseph Gordon-Levitt|Seth Rogen|Anna Kendrick|Bryce Dallas Howard,35014192,304413
97,97,(500) días juntos,2009,95,Comedy,PG,7.7,Marc Webb,Zooey Deschanel|Joseph Gordon-Levitt|Geoffrey Arend|Chloë Grace Moretz,32391374,448660
98,98,52 vive o muere,1986,110,Crime,R,6.4,John Frankenheimer,Roy Scheider|Ann-Margret|Vanity|John Glover,5186646,4515
99,99,54,1998,93,Drama,R,5.9,Mark Christopher,Ryan Phillippe|Salma Hayek|Neve Campbell|Mike Myers,16574731,30502
109,109,Ocho cabezas,1997,95,Adventure,PG-13,5.4,Tom Schulman,Joe Pesci|Andy Comeau|Kristy Swanson|George Hamilton,3559990,9140
110,110,8 millas,2002,110,Drama,R,7.1,Curtis Hanson,Eminem|Brittany Murphy|Kim Basinger|Mekhi Phifer,116724075,233703
111,111,8 millones de maneras de morir,1986,115,Action,PG,5.8,Hal Ashby,Jeff Bridges|Rosanna Arquette|Alexandra Paul|Randy Brooks,1305114,4152
112,112,8 segundos,1994,105,Biography,PG-13,6.6,John G. Avildsen,Luke Perry|Stephen Baldwin|James Rebhorn|Cameron Finley,19604000,4567
113,113,8 mujeres y ½,1999,118,Comedy,PG-13,5.8,Peter Greenaway,John Standing|Matthew Delamere|Vivian Wu|Toni Collette,417517,3657
114,114,La carta final,1987,100,Biography,PG,7.4,David Hugh Jones,Anne Bancroft|Anthony Hopkins|Judi Dench|Jean De Baer,1083486,7326
115,115,88 Minutos,2007,108,Crime,PG-13,5.9,Jon Avnet,Al Pacino|Alicia Witt|Ben McKenzie|Leelee Sobieski,16930884,72223
116,116,Asesinato en 8 mm,1999,123,Mystery,R,6.5,Joel Schumacher,Nicolas Cage|Joaquin Phoenix|James Gandolfini|Peter Stormare,36663315,117644
117,117,Número 9,2009,79,Animation,PG-13,7.1,Shane Acker,Elijah Wood|Jennifer Connelly|Crispin Glover|Christopher Plummer,31743332,127531
118,118,9 Songs - 9 Canções,2004,71,Drama,R,4.8,Michael Winterbottom,Kieran O'Brien|Margo Stilley|Black Rebel Motorcycle Club|Don Blum,49835,20598
119,119,Cómo eliminar a su jefe,1980,109,Comedy,PG-13,6.8,Colin Higgins,Jane Fonda|Lily Tomlin|Dolly Parton|Dabney Coleman,103290500,25351
122,122,976 - El teléfono del infierno,1988,92,Comedy,PG-13,5.1,Robert Englund,Stephen Geoffreys|Patrick O'Bryan|Sandy Dennis|Jim Metzler,2955917,4401
125,125,Nueve semanas y media,1986,117,Drama,R,6,Adrian Lyne,Mickey Rourke|Kim Basinger|Margaret Whitton|David Margulies,6734844,35163
127,127,Una mente maravillosa,2001,135,Biography,PG-13,8.2,Ron Howard,Russell Crowe|Ed Harris|Jennifer Connelly|Christopher Plummer,170742341,789597
128,128,Una vida mejor,2011,98,Drama,PG-13,7.2,Chris Weitz,Demián Bichir|José Julián|Eddie 'Piolin' Sotelo|Joaquín Cosio,1759252,14732
129,129,Cegados por el sol,2015,125,Drama,PG-13,6.4,Luca Guadagnino,Tilda Swinton|Matthias Schoenaerts|Ralph Fiennes|Dakota Johnson,1982505,24281
130,130,2024: Apocalipsis nuclear (Un muchacho y su perro),1975,91,Comedy,PG-13,6.5,L.Q. Jones,Don Johnson|Jason Robards|Susanne Benton|Tim McIntire,6900000,15533
131,131,Un puente lejano,1977,175,Drama,PG-13,7.4,Richard Attenborough,Sean Connery|Ryan O'Neal|Michael Caine|Laurence Olivier,50800000,48299
132,132,A Brief History of Time,1991,80,Documentary,PG-13,7.4,Errol Morris,Stephen Hawking|Isobel Hawking|Janet Humphrey|Mary Hawking,2279692,4889
133,133,Una historia del Bronx,1993,121,Crime,PG-13,7.8,Robert De Niro,Robert De Niro|Chazz Palminteri|Lillo Brancato|Francis Capra,17266971,119193
134,134,Bichos: Una aventura en miniatura,1998,95,Animation,PG-13,7.2,John Lasseter,Andrew Stanton|Kevin Spacey|Dave Foley|Julia Louis-Dreyfus|Hayden Panettiere,162798565,251837
137,137,A Chorus Line,1985,113,Drama,G,6.2,Richard Attenborough,Michael Douglas|Terrence Mann|Michael Blevins|Yamil Borges,14202899,8687
138,138,Cuento de Navidad,2009,96,Animation,PG,6.8,Robert Zemeckis,Jim Carrey|Gary Oldman|Colin Firth|Steve Valentine,137855863,93519
141,141,Historias de Navidad,1983,94,Comedy,G,8,Bob Clark,Peter Billingsley|Melinda Dillon|Darren McGavin|Scott Schwartz,20605209,122876
143,143,A Civil Action (Acción civil),1998,115,Drama,PG-13,6.6,Steven Zaillian,John Travolta|Robert Duvall|Kathleen Quinlan|Tony Shalhoub,56702901,26202
146,146,Un grito en la oscuridad,1988,120,Biography,PG,6.9,Fred Schepisi,Meryl Streep|Sam Neill|Dale Reeves|David Hoflin,6908797,8582
148,148,Un método peligroso,2011,99,Biography,PG,6.4,David Cronenberg,Michael Fassbender|Keira Knightley|Viggo Mortensen|Vincent Cassel,5702083,94511
149,149,La verdad,2012,106,Action,R,5.6,Damian Lee,Andy Garcia|Kim Coates|Deborah Kara Unger|Forest Whitaker,5750,5638
150,150,A Dog of Flanders,1999,100,Family,PG,6.4,Kevin Brodie,Jack Warden|Jeremy James Kissner|Jesse James|Jon Voight,2148212,846
153,153,Una árida estación blanca,1989,106,Drama,PG,7,Euzhan Palcy,Donald Sutherland|Janet Suzman|Zakes Mokae|Jürgen Prochnow,3766879,4646
154,154,Un asunto de familia,1996,109,Comedy,PG,7,Richard Pearce,Robert Duvall|James Earl Jones|Michael Beach|Irma P. Hall,10118000,3053
156,156,Un lugar muy lejano,1993,105,Adventure,PG-13,6.6,Mikael Salomon,Reese Witherspoon|Ethan Embry|Jack Thompson|Sarel Bok,12890752,3186
158,158,Algunos hombres buenos,1992,138,Drama,PG-13,7.7,Rob Reiner,Tom Cruise|Jack Nicholson|Demi Moore|Kevin Bacon,141340178,219103
160,160,El gran enredo,1986,90,Action,PG,4.8,Blake Edwards,Ted Danson|Howie Mandel|Richard Mulligan|Stuart Margolin,6029824,1281
161,161,Un pez llamado Wanda,1988,108,Comedy,G,7.5,Charles Crichton,John Cleese|John Cleese|Jamie Lee Curtis|Kevin Kline|Michael Palin,63493712,124451
163,163,Fuerza 7,1979,90,Action,PG-13,5.1,Paul Aaron,Jennifer O'Neill|Chuck Norris|Clu Gulager|Ron O'Neal,20166000,3093
167,167,La jungla: Un buen día para morir,2013,98,Action,PG,5.3,John Moore,Bruce Willis|Jai Courtney|Sebastian Koch|Mary Elizabeth Winstead,67349198,191017
168,168,Un buen hombre en África,1994,94,Comedy,PG-13,5,Bruce Beresford,Colin Friels|Sean Connery|Joanne Whalley|John Lithgow,2308390,2199
169,169,Una juerga de pelotas,2011,95,Comedy,PG-13,6.1,Alex Gregory,Peter Huyck|Jason Sudeikis|Leslie Bibb|Tyler Labine|Lake Bell,154604,20069
170,170,A Good Woman,2004,93,Drama,PG,6.5,Mike Barker,Helen Hunt|Scarlett Johansson|Tom Wilkinson|Milena Vukotic,223144,10977
171,171,Un buen año,2006,117,Comedy,PG-13,7,Ridley Scott,Russell Crowe|Abbie Cornish|Albert Finney|Marion Cotillard,7458269,83819
172,172,Goofy e hijo,1995,78,Animation,PG-13,6.8,Kevin Lima,Bill Farmer|Jason Marsden|Jim Cummings|Kellie Martin,35348597,41899
173,173,Memorias de Queens,2006,100,Crime,PG-13,7,Dito Montiel,Robert Downey Jr.|Rosario Dawson|Shia LaBeouf|Dianne Wiest,516139,24235
174,174,Un puñado de polvo,1988,118,Drama,PG,6.7,Charles Sturridge,James Wilby|Kristin Scott Thomas|Richard Beale|Jackson Kyle,1560700,1672
176,176,Paranormal Movie,2013,86,Comedy,R,5,Michael Tiddes,Marlon Wayans|Essence Atkins|Marlene Forte|David Koechner,40041683,41176
177,177,Paranormal movie 2,2014,86,Comedy,PG-13,4.7,Michael Tiddes,Marlon Wayans|Jaime Pressly|Cedric the Entertainer|Essence Atkins,17329486,18567
178,178,Una historia de violencia,2005,96,Crime,R,7.4,David Cronenberg,Viggo Mortensen|Maria Bello|Ed Harris|William Hurt,31493782,213879
179,179,Una casa en el fin del mundo,2004,97,Drama,PG-13,6.7,Michael Mayer,Colin Farrell|Dallas Roberts|Robin Wright|Sissy Spacek,1029872,12897
180,180,Nuestro propio hogar,1993,104,Biography,PG-13,7.1,Tony Bill,Kathy Bates|Edward Furlong|Clarissa Lassig|Sarah Schaub,1703282,2761
183,183,Aventuras en la corte del rey Arturo,1995,89,Adventure,PG-13,4.7,Michael Gottlieb,Thomas Ian Nicholas|Joss Ackland|Art Malik|Paloma Baeza,13406717,5397
184,184,El cuchillo,2016,95,Crime,R,5.3,Andy Goddard,Patrick Wilson|Jessica Biel|Haley Bennett|Vincent Kartheiser,1806,6124
185,185,Bésame antes de morir,1991,94,Crime,PG-13,5.7,James Dearden,Matt Dillon|Sean Young|James Bonfanti|Sarah Keller,15429177,4522
186,186,Destino de caballero,2001,132,Action,PG-13,6.9,Brian Helgeland,Heath Ledger|Mark Addy|Rufus Sewell|Shannyn Sossamon,56569702,160584
187,187,El último concierto,2012,105,Drama,PG,7.1,Yaron Zilberman,Philip Seymour Hoffman|Christopher Walken|Catherine Keener|Mark Ivanir,1561577,13171
188,188,Ellas dan el golpe,1992,128,Comedy,PG-13,7.2,Penny Marshall,Tom Hanks|Geena Davis|Lori Petty|Madonna,107533928,86088
189,189,Una historia diferente,1997,103,Comedy,PG-13,6.4,Danny Boyle,Cameron Diaz|Ewan McGregor|Holly Hunter|Delroy Lindo,4266243,33245
190,190,Un pedacito de cielo,2011,106,Comedy,PG,6.3,Nicole Kassell,Kate Hudson|Gael García Bernal|Kathy Bates|Peter Dinklage,10011,26750
191,191,Un pequeño caos,2014,112,Drama,PG,6.5,Alan Rickman,Kate Winslet|Alan Rickman|Stanley Tucci|Matthias Schoenaerts,551609,18888
193,193,La princesita,1995,97,Drama,PG-13,7.7,Alfonso Cuarón,Liesel Matthews|Eleanor Bron|Liam Cunningham|Rusty Schwimmer,10019307,30105
197,197,El amor es lo que tiene,2005,107,Comedy,PG-13,6.6,Nigel Cole,Ashton Kutcher|Amanda Peet|Taryn Manning|Aimee Garcia,21835784,65345
198,198,Una canción del pasado,2004,119,Drama,R,7.1,Shainee Gabel,Scarlett Johansson|John Travolta|Gabriel Macht|Deborah Kara Unger,159171,24174
199,199,Shame detective privado,1994,100,Action,R,6,Keenen Ivory Wayans,Keenen Ivory Wayans|Charles S. Dutton|Jada Pinkett Smith|Salli Richardson-Whitfield,29392418,6158
200,200,Diablo (A Man Apart),2003,109,Action,R,6.1,F. Gary Gray,Vin Diesel|Timothy Olyphant|Larenz Tate|Geno Silva,26183197,42886
201,201,Mi mapa del mundo,1999,125,Drama,PG,6.6,Scott Elliott,Sigourney Weaver|Julianne Moore|Dara Perlmutter|David Strathairn,544538,3890
205,205,En la línea de ataque,1992,108,Drama,PG-13,7.1,Keith Gordon,Peter Berg|Kevin Dillon|Arye Gross|Ethan Hawke,1526697,7886
206,206,El sueño de una noche de verano de William Shakespeare,1999,116,Comedy,PG-13,6.4,Michael Hoffman,Kevin Kline|Michelle Pfeiffer|Rupert Everett|Stanley Tucci,16071990,23523
207,207,La comedia sexual de una noche de verano,1982,88,Comedy,PG-13,6.6,Woody Allen,Woody Allen|Mia Farrow|José Ferrer|Julie Hagerty,9077269,17467
208,208,Un corazón invencible,2007,108,Biography,PG,6.6,Michael Winterbottom,Angelina Jolie|Dan Futterman|Irrfan Khan|Archie Panjabi,9176787,25989
209,209,Un monstruo viene a verme,2016,108,Animation,PG,7.5,J.A. Bayona,Lewis MacDougall|Sigourney Weaver|Felicity Jones|Toby Kebbell,3730982,73237
211,211,El año más violento,2014,125,Action,PG-13,7,J.C. Chandor,Oscar Isaac|Jessica Chastain|David Oyelowo|Alessandro Nivola,5740310,61629
212,212,El hombre más buscado,2014,122,Crime,PG,6.8,Anton Corbijn,Philip Seymour Hoffman|Rachel McAdams|Daniel Brühl|Robin Wright,17237244,68905
216,216,Una nueva vida,1988,104,Comedy,PG-13,5.8,Alan Alda,Alan Alda|Ann-Margret|Hal Linden|Veronica Hamel,7721851,459
217,217,Movida en el Roxbury,1998,82,Comedy,PG-13,6.3,John Fortenberry,Chris Kattan|Will Ferrell|Raquel Gardner|Viveca Paulin,30324946,54107
218,218,Una noche en el cielo,1983,83,Drama,PG-13,4.3,John G. Avildsen,Christopher Atkins|Lesley Ann Warren|Robert Logan|Deborah Rush,5563663,1098
219,219,Una noche en la vida de Jimmy Reardon,1988,90,Comedy,PG,5.6,William Richert,River Phoenix|Ann Magnuson|Meredith Salenger|Ione Skye,6264058,2424
220,220,Pesadilla en Elm Street,1984,91,Horror,R,7.5,Wes Craven,Heather Langenkamp|Johnny Depp|Robert Englund|John Saxon,25504513,191351
221,221,Pesadilla en Elm Street. El origen,2010,95,Crime,PG-13,5.2,Samuel Bayer,Jackie Earle Haley|Rooney Mara|Kyle Gallner|Katie Cassidy,63075011,87363
222,222,Pesadilla en Elm Street 2: La venganza de Freddy,1985,87,Horror,PG-13,5.5,Jack Sholder,Robert Englund|Mark Patton|Kim Myers|Robert Rusler,29999213,56852
223,223,Pesadilla en Elm Street 5: El niño de los sueños,1989,89,Fantasy,PG-13,5.1,Stephen Hopkins,Robert Englund|Lisa Wilcox|Kelly Jo Minter|Danny Hassel,22168359,37991
224,224,Pesadilla en Elm Street 3: Los guerreros del sueño,1987,96,Fantasy,PG-13,6.6,Chuck Russell,Heather Langenkamp|Robert Englund|Craig Wasson|Patricia Arquette,44793222,65297
225,225,Pesadilla en Elm Street 4: El amo del sueño,1988,93,Horror,R,5.7,Renny Harlin,Robert Englund|Rodney Eastman|John Beckman|Kisha Brackel,49369899,46565
226,226,Pasaje a la India,1984,164,Adventure,PG,7.3,David Lean,Judy Davis|Victor Banerjee|Peggy Ashcroft|James Fox,27187653,15899
227,227,Escapada perfecta,2009,98,Action,PG,6.5,David Twohy,Milla Jovovich|Steve Zahn|Timothy Olyphant|Kiele Sanchez,15483540,64877
228,228,Un crimen perfecto,1998,107,Crime,R,6.5,Andrew Davis,Michael Douglas|Gwyneth Paltrow|Viggo Mortensen|David Suchet,67638368,74679
229,229,Un mundo perfecto,1993,138,Crime,R,7.6,Clint Eastwood,Kevin Costner|Clint Eastwood|Laura Dern|T.J. Lowther,31160784,69148
234,234,Réquiem por los que van a morir,1987,107,Action,PG,6.3,Mike Hodges,Mickey Rourke|Bob Hoskins|Alan Bates|Sammi Davis,1432687,4289
235,235,Función privada,1984,92,Comedy,PG-13,6.5,Malcolm Mowbray,Michael Palin|Maggie Smith|Denholm Elliott|Richard Griffiths,2527088,2360
236,236,Pura formalidad,1994,108,Crime,PG-13,7.7,Giuseppe Tornatore,Gérard Depardieu|Roman Polanski|Sergio Rubini|Nicola Di Pinto,202458,9103
239,239,A Resurrection,2013,89,Horror,R,3.9,Matt Orlando,Mischa Barton|Brenden Meers|Devon Sawa|Michael Clarke Duncan,10730,1547
241,241,El río de la vida,1992,123,Drama,PG-13,7.2,Robert Redford,Craig Sheffer|Brad Pitt|Tom Skerritt|Brenda Blethyn,43440294,50019
242,242,A Room for Romeo Brass,1999,90,Comedy,R,7.6,Shane Meadows,Martin Arrowsmith|Dave Blant|Darren Campbell|Paddy Considine,18434,5175
243,243,Una habitación con vistas,1985,117,Drama,PG-13,7.3,James Ivory,Maggie Smith|Helena Bonham Carter|Denholm Elliott|Julian Sands,20966644,36731
244,244,Un asunto real,2012,137,Biography,PG,7.5,Nikolaj Arcel,Alicia Vikander|Mads Mikkelsen|Mikkel Boe Følsgaard|Trine Dyrholm,1546761,41616
245,245,A Scanner Darkly,2006,100,Animation,PG-13,7.1,Richard Linklater,Keanu Reeves|Winona Ryder|Robert Downey Jr.|Rory Cochrane,5501616,102128
246,246,Un tipo serio,2009,106,Comedy,PG-13,7,Ethan Coen,Joel Coen|Michael Stuhlbarg|Richard Kind|Sari Lennick|Fred Melamed,9190525,124383
248,248,Ejecutivo ejecutor,1990,88,Comedy,PG-13,6.7,Jan Egleson,Michael Caine|Elizabeth McGovern|Peter Riegert|Swoosie Kurtz,3417056,3805
251,251,Un plan sencillo,1998,121,Crime,PG-13,7.5,Sam Raimi,Bill Paxton|Billy Bob Thornton|Bridget Fonda|Brent Briscoe,16311763,59455
252,252,Un golpe del destino,1994,106,Drama,PG-13,6.3,Gillies MacKinnon,Steve Martin|Gabriel Byrne|Laura Linney|Catherine O'Hara,3428774,4800
253,253,El hada novata,1997,89,Comedy,PG,5.4,Michael Ritchie,Martin Short|Mara Wilson|Robert Pastorelli|Ruby Dee,8119205,4940
254,254,Un hombre soltero,2009,99,Drama,PG,7.6,Tom Ford,Colin Firth|Julianne Moore|Matthew Goode|Nicholas Hoult,9166863,100895
257,257,Historia de un soldado,1984,101,Crime,PG,7.2,Norman Jewison,Howard E. Rollins Jr.|Adolph Caesar|Art Evans|David Alan Grier,21821347,8223
258,258,El sonido del trueno,2005,101,Action,PG-13,4.2,Peter Hyams,Edward Burns|Ben Kingsley|Catherine McCormack|Armin Rohde,1891821,18290
